ID No.,Geocoding Status,Latitude,Longitude
11,NONE,,
21,OK,39.40639,-76.60105
34,OK,39.34298,-76.58568
37,BAD,,
42,OK,47.59932,-122.30896
49,NONE,,
56,OK,39.95458,-75.1946
79,BAD,,
84,OK,39.3982,-76.60305
88,OK,39.39099,-76.61087
